Variables;R² Test Linéaire;RMSE Test Linéaire;R² moyen (validation croisée) Linéaire;R² Test Random Forest;RMSE Test Random Forest;R² moyen (validation croisée) Random Forest
experience_level, job_title, employee_residence, company_location;-1.7347835658311913e+18;82711595865214.2;-1.2992785164418261e+22;0.35055829239165115;50607.3782107531;0.3966654359283766
experience_level, job_title, employee_residence, company_size;0.3446169010283633;50838.34095796189;-1.8146078936596946e+24;0.36004234097923193;50236.49964576635;0.38703220544951333
experience_level, employment_type, job_title, employee_residence;0.3391683619804885;51049.2262912081;-4.500290625067841e+24;0.3451082567406585;50819.280050689966;0.3841434482446161
experience_level, employment_type, job_title, company_location;-3.144362846884501e+21;3521357178927471.5;-2.5679996079884288e+22;0.32316833501759323;51663.530977108676;0.38276148119937653
experience_level, job_title, company_location, company_size;-1.3771026709239503e+19;233038089396677.1;-3.9901653744316957e+21;0.3383163833291222;51082.123355439835;0.38114991947403176
experience_level, job_title, employee_residence, remote_ratio;0.3389757808664984;51056.66419229701;-1.844688403396636e+24;0.3201213707174868;51779.689968486964;0.3796870268273527
work_year, experience_level, job_title, employee_residence;0.34516247635433095;50817.176299349914;-2.09573234122105e+24;0.3151411417267853;51968.99154344527;0.376395280770668
experience_level, job_title, remote_ratio, company_location;-1.4989686484301942e+20;768847179374034.8;-1.1484872181552838e+22;0.31077398382637944;52134.42426574545;0.3687268104082434
work_year, experience_level, job_title, company_location;-5.401925109329254e+21;4615492293594877.0;-1.480251757907713e+21;0.30178075591831444;52473.45471445145;0.3677787811968152
job_title, employee_residence, remote_ratio, company_location;-1.0248168495000998e+21;2010327804298010.2;-3.707876077986949e+22;0.296485763497089;52672.04689618779;0.33108637686944153
job_title, employee_residence, company_location, company_size;-1.7937496547406238e+22;8410555208005625.0;-5.116732924466325e+22;0.3084114559019556;52223.7009769555;0.3285982164183265
job_title, employee_residence, remote_ratio, company_size;0.3025810566148486;52443.37348768912;-4.2984374698434434e+24;0.27233521020818396;53568.49327267512;0.32032229736409945
work_year, job_title, employee_residence, company_location;-8.267196526161375e+20;1805605552307400.2;-2.03480870802093e+22;0.29071248644639347;52887.7276766539;0.32030723387750887
employment_type, job_title, employee_residence, company_location;-1.1773765912296945e+21;2154772623209462.8;-2.8036093231714498e+22;0.31283747225598935;52056.32258350124;0.3196892252957329
work_year, experience_level, employee_residence, company_location;-1.557846676205346e+20;783801529650763.0;-2.375751707446733e+22;0.32179880417534645;51715.773688869376;0.31953055001810904
job_title, remote_ratio, company_location, company_size;-8.127901023768871e+20;1790329442792937.8;-1.8528988229468303e+22;0.27042530455340097;53638.74795842354;0.3190419998851225
