Variables;R² Test Linéaire;RMSE Test Linéaire;R² moyen (validation croisée) Linéaire;R² Test Random Forest;RMSE Test Random Forest;R² moyen (validation croisée) Random Forest
experience_level, job_title, employee_residence, remote_ratio;0.3360213252486729;51131.36717035897;-3.220248201388633e+23;0.33867711078781515;51029.00695136361;0.39479707520523644
work_year, experience_level, job_title, employee_residence;0.34012679209784114;50973.04610091736;-6.927131585189287e+24;0.325100033022204;51550.1630257871;0.39153464916548464
experience_level, job_title, employee_residence, company_location;-4.999708455295577e+17;44369310496734.15;-8.871684587041955e+21;0.3416827430989383;50912.91457138602;0.39047898525328983
experience_level, job_title, remote_ratio, company_location;-1.4789530674421425e+22;7631106873013724.0;-4.968323537103982e+23;0.31405520053895397;51970.26406655452;0.3888646487236203
experience_level, job_title, employee_residence, company_size;0.3433428804714165;50848.67822821683;-4.631304339481426e+23;0.34602753210751214;50744.62788318388;0.3866206860616961
experience_level, employment_type, job_title, employee_residence;0.3366190722681356;51108.34647307199;-3.969061047309478e+24;0.34184152086818576;50906.774426641656;0.38367659370784646
work_year, experience_level, job_title, company_location;-5.228822297363452e+21;4537454476494806.0;-8.423719231277018e+24;0.3006830017988289;52474.387974693025;0.3831320500795351
experience_level, job_title, company_location, company_size;-6.429872085742634e+21;5031662537609852.0;-1.276030077139918e+24;0.31993169283138745;51747.170480667875;0.38223014591792076
experience_level, employment_type, job_title, company_location;-7.528615391806912e+20;1721741292415946.2;-2.482858970975433e+25;0.3168671844562525;51863.63039362397;0.3808776460430705
job_title, employee_residence, remote_ratio, company_location;-4.85852588033704e+21;4373837057633913.5;-4.8877350900587056e+22;0.2832816173343278;53123.24691118752;0.3339420490875634
job_title, employee_residence, remote_ratio, company_size;0.28734415271413494;52972.47516576465;-5.939383179269094e+24;0.2857070255611428;53033.28497294305;0.3304291432753558
job_title, employee_residence, company_location, company_size;-2.3341568034649366e+24;9.586837222536886e+16;-5.413726529875243e+24;0.2824441458717445;53154.27458939362;0.329699290413367
job_title, remote_ratio, company_location, company_size;-3.057518701830235e+20;1097222994899793.2;-2.207954452026421e+23;0.26249063671369877;53888.25354170958;0.3292366035175318
